type,annotations.gid,annotations.euid,annotations.children pid namespace,annotations.pid,annotations.seen time,annotations.source,annotations.net namespace,annotations.ipc namespace,annotations.ppid,annotations.pid namespace,annotations.uid,annotations.egid,annotations.exe,annotations.mount namespace,annotations.name,annotations.user namespace,annotations.path,annotations.subtype,annotations.permissions,annotations.epoch,annotations.version,annotations.memory address,annotations.size,annotations.tgid,annotations.start time,annotations.ns pid,annotations.read fd,annotations.write fd,annotations.cwd,annotations.command line,annotations.fd,annotations.root path
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40fe4000,d00,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e409a7000,3f0ae0,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40b8e000,200000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40d8e000,6000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40d94000,3ae0,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop15/uevent,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/run/udev/data/b7:15,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40788000,21e480,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e407a2000,1ff000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e409a1000,2000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e409a3000,3480,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/dev/block/7:17,link,0777,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e41852000,2000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40581000,206180,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40587000,1ff000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40786000,2000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e4184f000,3000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40d8e000,4000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40786000,1000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e409a1000,1000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40fdf000,4000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e411ec000,1000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e413f0000,1000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e4163f000,1000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,55c2f0cfb000,1000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e4186a000,1000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,1,7f8e41856000,13817,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40377000,2098c0,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e4037f000,200000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e4057f000,2000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e4057f000,1000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,2,7f8e41856000,13817,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e4016b000,20b588,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40176000,1ff000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40375000,2000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e3ff51000,219a58,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e3ff68000,1ff000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40167000,2000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40169000,1a58,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e3fd3f000,211738,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e3fd4a000,1ff000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e3ff49000,2000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e3ff4b000,5738,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e3ff49000,1000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40167000,1000,3014,,,,,,,,
